"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\utils\prismaClient.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\README.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 39
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\package-lock.json", "JSON", 3353, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3354
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\src\App.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\src\Hooks\Auth\useAuthForm.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 10, 72
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\src\Hooks\Comment\useDeleteComments.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\src\Hooks\Comment\useGetComments.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\src\Hooks\Comment\usePostComments.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Frontend\src\Hooks\Feed\useSearchBar.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
